"API NUMBER","WELL NAME","WELL NUMBER",OPERATOR,STATE,COUNTY,"NUMBER OF DAYS ONLINE","CO2, MSCF","SULFUR, LONG TONS","PRODUCTION DATE","OIL, BARRELS","GAS, MSCF","WATER, BARRELS","PRODUCING UNIT NAME"
"=""35037252040000""",Brightwell,1-11,"Baja Oil & Gas Company",OK,Creek,,,,2009-11-01,0,0,,Brightwell
"=""35037272540000""",Allen,3,"Denham Operating Company",OK,Creek,,,,2009-12-01,0,390,,Allen
"=""35037272540000""",Allen,3,"Denham Operating Company",OK,Creek,,,,2009-09-01,0,218,,Allen
"=""35037272540000""",Allen,3,"Denham Operating Company",OK,Creek,,,,2009-01-01,0,473,,Allen
"=""35037272650000""",Williams,5,"Shelton Dempsey L",OK,Creek,,,,2009-02-01,0,92,,Williams
"=""35037272650000""",Williams,5,"Shelton Dempsey L",OK,Creek,,,,2009-01-01,0,126,,Williams
"=""35037270590000""","Columbus Swampter",1,"Sparks Resources Inc",OK,Creek,,,,2009-09-01,0,672,,"Columbus Swampter"
"=""35037284810000""","Deer Creek",1,"Flying M Petroleum Llc",OK,Creek,,,,2009-08-01,0,275,,"Deer Creek"
"=""35037285110000""",Cobb,3-7,"Dixon Clint A",OK,Creek,,,,2009-07-01,0,557,,Cobb
"=""35037285110000""",Cobb,3-7,"Dixon Clint A",OK,Creek,,,,2009-06-01,0,589,,Cobb
"=""35037285110000""",Cobb,3-7,"Dixon Clint A",OK,Creek,,,,2009-05-01,0,640,,Cobb
"=""35037268010000""","A O C",1,"Reserve Management Inc",OK,Creek,,,,2009-03-01,0,142,,"A O C"
"=""35037264310000""",Allensworth,12-1,"Redland Resources Llc",OK,Creek,,,,2009-02-01,0,395,,Allensworth
